InstallFlag;KickstartVersion;PackageName;SearchforUpdatedPackage;UpdatePackageSearchTerm;UpdatePackageSearchExclusionTerm;UpdatePackageSearchMinimumDate;Source;InstallType;SourceLocation;FileDownloadName;PerformHashCheck;Hash;FilestoInstall;DrivetoInstall;LocationtoInstall;CreateFolderInfoFile;NewFileName;ModifyUserStartup;ModifyStartupSequence;StartupSequenceInjectionStartPoint;StartupSequenceInjectionEndPoint;ModifyInfoFileTooltype;PiSpecificStorageDriver
TRUE;3.1,3.2,3.2.2.1;Emucontrol - Pistorm Folder;FALSE;;;;Emu68;CopyOnly;Emu68Tools\EmuControl\Emucontrol;;FALSE;;;System;PiStorm\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Emucontrol - Pistorm Folder;FALSE;;;;Emu68;CopyOnly;Emu68Tools\EmuControl\Emucontrol.info;;FALSE;;;System;PiStorm\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;EMUControl - VC4Tweak;FALSE;;;;Emu68;CopyOnly;Emu68Tools\EmuControl\Emucontrol.info;;FALSE;;;System;PiStorm\;TRUE;VC4Tweak.info;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;EMUControl - VC4Tweak;FALSE;;;;Emu68;CopyOnly;Emu68Tools\VC4Tweak\VC4Tweak;;FALSE;;;System;PiStorm\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Environment Variable - FIRSTTIMEBOOT;FALSE;;;;Local;CopyOnly;Prefs\Env-Archive\FIRSTTIMEBOOT;;FALSE;;;System;Prefs\Env-Archive\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Environment Variable - REBOOT;FALSE;;;;Local;CopyOnly;Prefs\Env-Archive\REBOOT;;FALSE;;;System;Prefs\Env-Archive\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;FAT95;FALSE;;;;Web;Full;https://aminet.net/disk/misc/fat95.lha;Fat95.lha;TRUE;B9BBC735FC367F830250D26FAA879B39;fat95\l\fat95;System;L\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;FileSysbox;FALSE;;;;Web;Full;http://aminet.net/util/libs/filesysbox.m68k-amigaos.lha;filesysbox.m68k-amigaos.lha;TRUE;C8AEB8CEFE87B98499963FE5330E2CA6;filesysbox\Libs\filesysbox.library.020;System;Libs\;FALSE;filesysbox.library;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayer;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayer.lha;hippoplayer.lha;TRUE;aa28f29175d968c4f4ccfd5a6c4f7ce4;HippoPlayer\HiP.*;System;Programs\HippoPlayer\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayer;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayer.lha;hippoplayer.lha;TRUE;aa28f29175d968c4f4ccfd5a6c4f7ce4;HippoPlayer\HippoPlayer.PS3M;System;S\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayer;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayer.lha;hippoplayer.lha;TRUE;aa28f29175d968c4f4ccfd5a6c4f7ce4;HippoSupport\*;System;Programs\HippoPlayer\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayer;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayer.lha;hippoplayer.lha;TRUE;aa28f29175d968c4f4ccfd5a6c4f7ce4;HippoSupport\Libs\octa*;System;Libs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayer;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayer.lha;hippoplayer.lha;TRUE;aa28f29175d968c4f4ccfd5a6c4f7ce4;HippoSupport\Libs\m*;System;Libs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayerUpdate;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayerupdate.lha;hippoplayerupdate.lha;FALSE;2a024bf40065e91edd0f8d876d5268ed;HiP;System;Programs\HippoPlayer\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayerUpdate;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayerupdate.lha;hippoplayerupdate.lha;FALSE;2a024bf40065e91edd0f8d876d5268ed;HippoPlayer.group;System;S\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayerUpdate;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayerupdate.lha;hippoplayerupdate.lha;FALSE;2a024bf40065e91edd0f8d876d5268ed;playsid.library;System;Libs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;IBrowse*.info;System;Programs\;FALSE;IBrowse.info;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;IBrowse*-OS3\Catalogs\*;System;Programs\IBrowse\Catalogs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\Codecs\*;System;Programs\IBrowse\Codecs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\Codecs040fpu\*;System;Programs\IBrowse\Codecs040fpu\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\ibcc\*;System;Programs\IBrowse\ibcc\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\images\*;System;Programs\IBrowse\images\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\Anims\TransferAnimation.24;System;Programs\IBrowse\images\;FALSE;TransferAnimation;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\Anims\TransferAnimation;System;Programs\IBrowse\images\;FALSE;TransferAnimation;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\info\*;System;Programs\IBrowse\info\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\protocols\*;System;Programs\IBrowse\protocols\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\Icons\IBrowse.info;System;Programs\IBrowse\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\Javascript\javascript.library.020;System;Programs\IBrowse\;FALSE;javascript.library;FALSE;FALSE;;;FALSE;FALSE
